Name  1900  1910  1920  1930  1940  1950  1960  1970  1980  1990  2000  2010  
Alondra  0  0  0  0  0  0  0  0  0  0  263  181  
Alpha  340  375  466  614  758  0  0  0  0  0  0  0  
Alta  154  170  223  271  337  530  921  0  0  0  0  0  
Altha  559  622  723  821  0  0  0  0  0  0  0  0  
Althea  504  462  382  439  567  653  546  787  0  0  0  0  
Alvena  866  908  0  0  0  0  0  0  0  0  0  0  
Alvera  0  962  734  808  0  0  0  0  0  0  0  0  
Alverta  961  703  776  925  0  0  0  0  0  0  0  0  
Alvina  284  346  390  514  724  0  0  0  0  0  0  0  
Alyce  642  394  315  352  430  526  825  0  0  0  0  0  
Alycia  0  0  0  0  0  0  0  0  0  680  767  0  
Alysa  0  0  0  0  0  0  0  0  0  0  856  0  
Alyse  0  0  0  0  0  0  0  0  0  813  0  0  
Alysha  0  0  0  0  0  0  0  0  0  648  630  0  
Alysia  0  0  0  0  0  0  0  0  879  756  793  0  
Alyson  0  0  0  0  0  0  0  841  516  395  410  475  
Alyssa  0  0  0  0  0  0  0  755  342  66  20  15  
Amalia  664  805  812  758  1000  0  0  0  0  0  0  0  
Amanda  120  183  293  397  468  454  362  183  11  4  9  83  
Amani  0  0  0  0  0  0  0  0  0  0  990  642  
Amara  0  0  0  0  0  0  0  0  0  0  0  636  
Amaris  0  0  0  0  0  0  0  0  0  0  0  992  
Amaya  0  0  0  0  0  0  0  0  0  0  774  218  
Amber  890  885  0  0  0  0  816  371  47  14  23  100  
Amelia  123  161  174  223  258  317  401  443  391  254  214  90  
Amelie  0  0  0  0  0  0  0  0  0  0  0  848  
America  824  984  0  0  0  0  0  0  0  0  0  498  
Ami  0  0  0  0  0  0  0  0  598  997  0  0  
Amie  764  673  950  0  0  0  0  782  301  420  0  0  
Amina  0  0  0  0  0  0  0  0  0  0  0  849  
Amira  0  0  0  0  0  0  0  0  0  0  0  583  
Amiya  0  0  0  0  0  0  0  0  0  0  0  768  
Amiyah  0  0  0  0  0  0  0  0  0  0  0  626  
Amparo  0  0  0  960  0  0  0  0  0  0  0  0  
Amy  149  196  249  293  348  297  123  27  2  22  75  122  
Amya  0  0  0  0  0  0  0  0  0  0  0  504  
Ana  975  971  976  849  814  651  445  322  219  171  135  150  
Anabelle  0  0  0  0  0  0  0  0  0  0  0  790  
Anahi  0  0  0  0  0  0  0  0  0  0  762  376  
Anastasia  520  594  590  740  0  0  0  812  665  425  333  306  
Anaya  0  0  0  0  0  0  0  0  0  0  0  523  
Andrea  881  841  783  670  394  145  136  62  23  32  53  60  
Andria  0  0  0  0  0  0  0  0  721  751  0  0  
Angela  338  275  235  263  247  183  96  13  5  28  83  112  
Angelia  0  0  0  0  0  0  573  317  375  878  0  0  
Angelica  0  0  0  0  0  0  0  584  246  144  105  193  
Angelina  339  241  207  205  316  501  595  486  347  294  250  71  
Angeline  309  245  209  233  354  602  902  935  863  0  0  872  
Angelique  0  0  0  0  0  0  0  545  384  559  442  579  
Angelita  0  922  865  697  660  733  856  875  868  0  0  0  
Angie  385  439  455  476  452  516  436  237  194  455  622  372  
Anika  0  0  0  0  0  0  0  0  0  0  872  527  
Anissa  0  0  0  0  0  0  0  728  640  0  645  0  
Anita  242  210  160  140  108  97  91  92  165  304  576  0  
Anitra  0  0  0  0  0  0  0  0  630  0  0  0  
Aniya  0  0  0  0  0  0  0  0  0  0  0  310  
Aniyah  0  0  0  0  0  0  0  0  0  0  0  240  
Anjelica  0  0  0  0  0  0  0  0  0  0  973  0  
Ann  102  69  45  53  32  39  45  60  107  193  377  692  
Anna  2  4  7  13  35  76  106  98  81  52  33  24  
Annabel  624  694  622  725  0  0  0  0  0  0  0  799  
Annabell  925  760  774  715  956  0  0  0  0  0  0  0  
Annabella  0  0  0  0  0  0  0  0  0  0  0  582  
Annabelle  428  370  286  273  408  736  0  0  0  0  817  216  
Annalise  0  0  0  0  0  0  0  0  0  0  0  669  
Annamae  0  0  806  704  929  0  0  0  0  0  0  0  
Annamarie  0  0  0  0  0  973  948  847  0  0  0  0  
Anne  109  85  55  84  92  87  86  83  121  139  213  432  
Annemarie  0  0  0  0  0  0  927  581  788  987  0  0  
Annetta  659  745  663  719  599  694  887  967  0  0  0  0  
Annette  320  284  226  228  146  141  110  79  189  367  675  828  
Annie  19  18  34  34  43  86  165  310  376  306  334  367  
Annika  0  0  0  0  0  0  0  0  0  0  683  358  
Annis  647  734  823  984  0  0  0  0  0  0  0  0  
Annmarie  0  0  0  0  957  686  645  439  560  834  0  0  
Ansley  0  0  0  0  0  0  0  0  0  0  0  687  
Antionette  0  0  956  0  0  0  911  744  907  0  0  0  
Antoinette  292  218  179  183  235  247  297  285  344  341  626  0  
Antonette  905  720  613  701  962  0  0  0  0  0  0  0  
Antonia  419  434  387  391  450  457  523  615  585  580  581  873  
Anya  0  0  0  0  0  0  0  0  0  0  0  430  
April  0  0  0  0  0  430  242  128  25  44  148  298  
Ara  698  806  0  0  0  0  0  0  0  0  0  0  
Arabella  0  0  0  0  0  0  0  0  0  0  0  723  
Araceli  0  0  0  0  0  0  0  0  589  586  583  612  
Aracely  0  0  0  0  0  0  0  0  0  0  0  759  
Ardell  0  0  850  858  950  0  0  0  0  0  0  0  
Ardella  927  783  832  759  833  0  0  0  0  0  0  0  
Ardis  0  0  633  502  539  851  0  0  0  0  0  0  
Ardith  0  0  808  621  526  760  0  0  0  0  0  0  
Areli  0  0  0  0  0  0  0  0  0  0  0  948  
Arely  0  0  0  0  0  0  0  0  0  0  0  624  
Aretha  0  0  0  0  0  0  0  681  0  0  0  0  
Aria  0  0  0  0  0  0  0  0  0  0  0  594  
Ariana  0  0  0  0  0  0  0  0  0  410  159  88  
Arianna  0  0  0  0  0  0  0  0  0  745  206  82  
Arie  804  900  0  0  0  0  0  0  0  0  0  0  
Ariel  0  0  0  0  0  0  0  0  0  272  121  211  
Arielle  0  0  0  0  0  0  0  0  0  417  372  592  
Arizona  801  870  0  0  0  0  0  0  0  0  0  0  
Arla  0  0  0  0  955  0  0  0  0  0  0  0  
Arleen  0  0  782  558  513  491  638  819  0  0  0  0  
Arlena  0  998  0  0  0  0  0  0  0  0  0  0  
Arlene  587  339  177  118  65  114  178  278  469  557  695  990  
Arline  566  414  296  278  318  604  0  0  0  0  0  0  
Armida  0  0  0  0  942  0  0  0  0  0  0  0  
Arrie  694  832  0  0  0  0  0  0  0  0  0  0  
Artie  341  391  504  641  806  0  0  0  0  0  0  0  
Arvilla  714  635  731  842  0  0  0  0  0  0  0  0  
Aryana  0  0  0  0  0  0  0  0  0  0  0  851  
Aryanna  0  0  0  0  0  0  0  0  0  0  0  680  
Asha  0  0  0  0  0  0  0  0  0  0  920  0  
Ashanti  0  0  0  0  0  0  0  0  0  0  905  468  
Ashely  0  0  0  0  0  0  0  0  0  583  0  0  
Ashlee  0  0  0  0  0  0  0  0  847  167  195  396  
Ashleigh  0  0  0  0  0  0  0  0  0  239  229  521  
Ashley  0  0  0  0  0  0  0  525  114  3  1  12  
Ashli  0  0  0  0  0  0  0  0  0  742  984  0  
Ashlie  0  0  0  0  0  0  0  0  0  493  677  0  
Ashly  0  0  0  0  0  0  0  0  0  542  719  853  
Ashlyn  0  0  0  0  0  0  0  0  0  901  240  144  
Ashlynn  0  0  0  0  0  0  0  0  0  0  557  292  
Asia  0  0  0  0  0  0  0  0  0  496  221  313  
Aspen  0  0  0  0  0  0  0  0  0  0  702  587  
Astrid  0  993  970  0  0  0  0  0  0  0  0  0  
Athena  0  0  0  0  0  0  0  831  608  660  667  466  
Aubree  0  0  0  0  0  0  0  0  0  0  894  413  
Aubrey  0  0  0  0  0  0  0  0  644  336  246  97  
Aubrie  0  0  0  0  0  0  0  0  0  0  0  611  
Audie  775  659  820  0  0  0  0  0  0  0  0  0  
Audra  703  626  670  782  0  0  0  441  381  466  837  0  
Audrey  279  176  123  69  77  144  159  204  253  187  161  72  
Audrina  0  0  0  0  0  0  0  0  0  0  0  813  
Audry  0  0  0  914  998  0  0  0  0  0  0  0  
Augusta  165  231  335  484  694  0  0  0  0  0  0  0  
Aurelia  420  448  506  553  681  881  0  0  0  0  0  0  
Aurora  766  567  471  370  465  537  744  821  812  758  603  312  
Aurore  874  0  0  0  0  0  0  0  0  0  0  0  
Autumn  0  0  0  0  0  0  0  0  290  198  106  89  
Ava  406  465  485  574  641  630  449  684  0  0  447  13  
Averie  0  0  0  0  0  0  0  0  0  0  0  896  
Avery  0  0  0  0  0  0  0  0  0  0  345  62  
Avis  442  416  303  340  433  666  624  901  0  0  0  0  
Ayana  0  0  0  0  0  0  0  0  0  0  787  741  
Ayanna  0  0  0  0  0  0  0  0  851  0  601  499  
Ayla  0  0  0  0  0  0  0  0  0  0  848  483  
Aylin  0  0  0  0  0  0  0  0  0  0  0  710  
Bailee  0  0  0  0  0  0  0  0  0  0  584  568  
Bailey  0  0  0  0  0  0  0  0  0  429  96  91  
Bambi  0  0  0  0  0  0  797  0  867  0  0  0  
Barb  0  0  0  0  0  0  690  803  0  0  0  0  
Barbara  156  146  72  14  2  3  8  24  84  164  355  630  
Barbie  0  0  0  0  0  0  0  896  0  0  0  0  
Barbra  0  0  0  0  778  735  783  730  0  0  0  0  
Baylee  0  0  0  0  0  0  0  0  0  0  451  425  
Beatrice  69  45  39  59  113  171  269  389  559  679  893  958  
Beatriz  0  0  0  906  951  0  0  832  726  598  577  0  
Beaulah  731  761  839  929  0  0  0  0  0  0  0  0  
Becky  0  0  0  0  576  245  141  142  200  438  0  0  
Belen  0  0  0  0  0  0  0  0  0  0  0  898  
Belinda  0  0  0  0  0  356  164  171  218  453  943  902  
